Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
KIAA0232	ENST00000425103.1	KIAA0232 	119	2	1	0	1	0	0	0	0	1	hsa-miR-148a-3p	0.2197	0.8720	1.8073	-0.44	-0.52	0.97	2005, 2007, 2009, 2011
XPO4	ENST00000400602.2	exportin 4 	718	1	1	0	0	2	0	1	1	1	hsa-miR-148a-3p	0.1505	0.6612	1.7448	-0.44	-0.53	0.92	2005, 2007, 2009, 2011
RPS6KA5	ENST00000261991.3	ribosomal protein S6 kinase, 90kDa, polypeptide 5 	64	2	0	2	0	2	0	2	0	1	hsa-miR-148b-3p	0.0448	0.2967	1.3093	-0.43	-0.80	0.62	2005, 2007
ABCD3	ENST00000394233.2	ATP-binding cassette, sub-family D (ALD), member 3 	53	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1318	0.5545	1.1112	-0.43	-0.43	0.76	2009, 2011
POU3F2	ENST00000328345.5	POU class 3 homeobox 2 	274	1	0	1	0	1	0	0	1	0	hsa-miR-152-3p	0.0631	0.3968	1.4891	-0.43	-0.43	0.64	2005, 2007, 2009, 2011
PBXIP1	ENST00000368465.1	pre-B-cell leukemia homeobox interacting protein 1 	1080	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0726	0.3836	1.0253	-0.43	-0.44	0.80	2005, 2007, 2009, 2011
SKP1	ENST00000353411.6	S-phase kinase-associated protein 1 	416	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0419	0.2459	0.7307	-0.43	-0.43	0.93	2005, 2007, 2009, 2011
BHLHE41	ENST00000242728.4	basic helix-loop-helix family, member e41 	50	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1122	0.4916	1.0790	-0.43	-0.48	0.89	2009, 2011
NEURL4	ENST00000315614.7	neuralized homolog 4 (Drosophila) 	469	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1596	0.5947	1.0129	-0.43	-0.43	0.87	2005, 2007, 2009, 2011
PTEN	ENST00000371953.3	phosphatase and tensin homolog 	118	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.1137	0.5694	1.5732	-0.43	-0.61	0.99	2011
MIER1	ENST00000357692.2	mesoderm induction early response 1, transcriptional regulator 	950	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0847	0.4660	1.3129	-0.43	-0.63	0.87	2007, 2009, 2011
ERBB3	ENST00000267101.3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 	926	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1542	0.6123	1.2577	-0.43	-0.43	0.89	2005, 2007, 2009, 2011
UGT8	ENST00000310836.6	UDP glycosyltransferase 8 	682	1	0	0	1	1	0	0	1	0	hsa-miR-148a-3p	0.0383	0.2526	1.0687	-0.42	-0.47	0.66	NULL
FAM168B	ENST00000409185.1	family with sequence similarity 168, member B 	122	1	0	1	0	1	0	0	1	1	hsa-miR-148a-3p	0.0529	0.3047	0.8973	-0.42	-0.56	0.89	2009, 2011
YPEL3	ENST00000566134.1	yippee-like 3 (Drosophila) 	330	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0360	0.2164	0.6711	-0.42	-0.42	0.55	2005, 2007, 2009, 2011
SLC25A44	ENST00000359511.4	solute carrier family 25, member 44 	760	1	0	1	0	2	0	1	1	0	hsa-miR-148a-3p	0.0313	0.2168	1.1158	-0.42	-0.42	0.69	2007, 2009, 2011
CUL5	ENST00000393094.2	cullin 5 	761	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1277	0.5422	1.1007	-0.42	-0.42	0.85	2005, 2007, 2009, 2011
DNMT1	ENST00000340748.4	DNA (cytosine-5-)-methyltransferase 1 	47	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0777	0.3914	0.9161	-0.42	-0.42	0.44	2011
B4GALT6	ENST00000306851.5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6 	146	1	1	0	0	1	1	0	0	0	hsa-miR-148a-3p	0.1139	0.4827	1.0753	-0.42	-0.69	0.88	2011
ABL2	ENST00000502732.1	c-abl oncogene 2, non-receptor tyrosine kinase 	892	1	0	1	0	1	0	0	1	4	hsa-miR-148a-3p	0.0510	0.3474	1.7469	-0.42	-0.44	0.37	2009, 2011
AGFG1	ENST00000310078.8	ArfGAP with FG repeats 1 	2019	1	0	1	0	1	0	0	1	0	hsa-miR-148a-3p	0.0826	0.4530	1.4468	-0.42	-0.43	0.94	2005, 2007, 2009, 2011
CDH7	ENST00000397968.2	cadherin 7, type 2 	42	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0724	0.3880	1.0644	-0.42	-0.42	0.87	NULL
H2AFY	ENST00000511689.1	H2A histone family, member Y 	2126	1	0	0	1	0	0	0	0	1	hsa-miR-148a-3p	0.0492	0.2949	0.9835	-0.42	-0.42	0.79	2005, 2007, 2009, 2011
SLC2A1	ENST00000426263.3	solute carrier family 2 (facilitated glucose transporter), member 1 	13928	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0925	0.4422	0.9918	-0.42	-0.42	0.87	2005, 2007, 2009, 2011
ROCK1	ENST00000399799.2	Rho-associated, coiled-coil containing protein kinase 1 	7	2	0	1	1	0	0	0	0	1	hsa-miR-148a-3p	0.1016	0.5863	1.8040	-0.41	-0.41	> 0.99	2007, 2009, 2011
JMY	ENST00000396137.4	junction mediating and regulatory protein, p53 cofactor 	10	1	1	0	0	1	1	0	0	0	hsa-miR-148a-3p	0.1815	0.8608	1.8933	-0.41	-0.41	0.82	2009, 2011
SGMS1	ENST00000361781.2	sphingomyelin synthase 1 	100	1	0	1	0	0	0	0	0	1	hsa-miR-148a-3p	0.0391	0.2463	0.9327	-0.41	-0.41	0.45	2007
GTF2H1	ENST00000265963.4	general transcription factor IIH, polypeptide 1, 62kDa 	121	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1355	0.4957	0.8539	-0.41	-0.53	0.83	2005, 2007, 2009, 2011
GPATCH8	ENST00000591680.1	G patch domain containing 8 	337	1	1	0	0	0	0	0	0	2	hsa-miR-148a-3p	0.1314	0.5812	1.3992	-0.41	-0.44	0.85	2007, 2009, 2011
AHDC1	ENST00000247087.5	AT hook, DNA binding motif, containing 1 	174	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0912	0.4434	1.0401	-0.41	-0.41	0.81	2009, 2011
FAM81A	ENST00000288228.5	family with sequence similarity 81, member A 	53	1	0	1	0	0	0	0	0	1	hsa-miR-152-3p	0.0642	0.4037	1.5778	-0.41	-0.41	0.31	2011
LDLR	ENST00000558518.1	low density lipoprotein receptor 	1462	1	0	1	0	1	1	0	0	0	hsa-miR-148a-3p	0.1013	0.5267	1.3643	-0.41	-0.55	0.78	2011
GAP43	ENST00000305124.6	growth associated protein 43 	5	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0518	0.2880	0.7585	-0.41	-0.41	0.65	2005, 2007, 2009, 2011
CHST1	ENST00000308064.2	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0544	0.3038	0.8392	-0.41	-0.41	0.89	2009, 2011
CNTN4	ENST00000427331.1	contactin 4 	191	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1761	0.6241	1.0632	-0.41	-0.41	0.89	2005, 2007, 2009, 2011
MAF	ENST00000393350.1	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog 	608	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1781	0.7166	1.7353	-0.41	-0.41	0.81	2007, 2009, 2011
NDP	ENST00000378062.5	Norrie disease (pseudoglioma) 	5	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0389	0.2337	0.7512	-0.40	-0.40	0.27	2009, 2011
DOCK6	ENST00000294618.7	dedicator of cytokinesis 6 	171	1	1	0	0	0	0	0	0	0	hsa-miR-148b-3p	0.0774	0.3996	1.0306	-0.40	-0.40	< 0.1	2005, 2007, 2009, 2011
TNRC6C	ENST00000335749.4	trinucleotide repeat containing 6C 	248	2	1	0	1	0	0	0	0	0	hsa-miR-148a-3p	0.1847	0.8126	1.7078	-0.40	-0.42	0.98	2011
MDFIC	ENST00000393486.1	MyoD family inhibitor domain containing 	601	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0419	0.2485	0.7783	-0.40	-0.41	0.91	2005, 2007, 2009, 2011
ATP2B4	ENST00000367218.3	ATPase, Ca++ transporting, plasma membrane 4 	7311	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1111	0.5476	1.5535	-0.40	-0.41	0.75	2007, 2009, 2011
DYNLL2	ENST00000579991.2	dynein, light chain, LC8-type 2 	1162	1	0	1	0	2	0	2	0	4	hsa-miR-148a-3p	0.0748	0.4137	1.2498	-0.40	-0.57	0.93	2007, 2009, 2011
TRAK2	ENST00000332624.3	trafficking protein, kinesin binding 2 	353	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0756	0.3800	0.8596	-0.40	-0.40	0.19	2007, 2009, 2011
UBE2D1	ENST00000373910.4	ubiquitin-conjugating enzyme E2D 1 	200	1	0	1	0	0	0	0	0	1	hsa-miR-148a-3p	0.0299	0.1943	0.7917	-0.40	-0.41	0.58	2005, 2007, 2009, 2011
NOG	ENST00000332822.4	noggin 	107	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0349	0.2108	0.6637	-0.40	-0.40	0.59	2005, 2007, 2009, 2011
PDIA3	ENST00000300289.5	protein disulfide isomerase family A, member 3 	884	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0421	0.2490	0.8045	-0.40	-0.45	0.89	2005, 2007, 2009, 2011
OSBPL11	ENST00000296220.5	oxysterol binding protein-like 11 	101	2	2	0	0	0	0	0	0	0	hsa-miR-152-3p	0.1193	0.5338	1.1531	-0.40	-0.72	0.82	2005, 2007, 2009, 2011
ITGA11	ENST00000423218.2	integrin, alpha 11 	390	1	1	0	0	1	0	0	1	0	hsa-miR-148a-3p	0.1892	0.6854	1.3338	-0.40	-0.46	0.87	2005, 2007, 2009, 2011
CPT1A	ENST00000265641.5	carnitine palmitoyltransferase 1A (liver) 	869	1	1	0	0	1	0	1	0	0	hsa-miR-148a-3p	0.0843	0.4791	1.4513	-0.40	-0.42	0.41	2011
BTAF1	ENST00000265990.6	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa 	917	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0699	0.3739	1.0088	-0.40	-0.40	0.86	2005, 2007
PRR15	ENST00000319694.2	proline rich 15 	244	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0231	0.1487	0.5760	-0.40	-0.44	0.30	NULL
LAMA4	ENST00000230538.7	laminin, alpha 4 	605	1	0	0	1	0	0	0	0	0	hsa-miR-148a-3p	0.0912	0.4484	1.1015	-0.40	-0.40	0.79	2011
RNF38	ENST00000259605.6	ring finger protein 38 	348	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0752	0.3983	1.0903	-0.40	-0.40	0.67	2005, 2007, 2009, 2011
TEK	ENST00000380036.4	TEK tyrosine kinase, endothelial 	1007	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0599	0.3259	0.8576	-0.40	-0.40	0.29	2009, 2011
ACVR1	ENST00000263640.3	activin A receptor, type I 	1523	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0421	0.2587	0.9386	-0.40	-0.40	0.67	2005, 2007, 2009, 2011
SESN2	ENST00000253063.3	sestrin 2 	854	1	1	0	0	1	0	0	1	0	hsa-miR-148a-3p	0.0804	0.4187	1.1103	-0.40	-0.40	0.11	2011
ATP7A	ENST00000343533.5	ATPase, Cu++ transporting, alpha polypeptide 	141	1	1	0	0	0	0	0	0	2	hsa-miR-152-3p	0.1206	0.6102	1.7599	-0.39	-0.40	0.80	2005, 2007, 2009, 2011
MAF1	ENST00000322428.5	MAF1 homolog (S. cerevisiae) 	698	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0326	0.2013	0.6847	-0.39	-0.39	0.77	2005, 2007, 2009, 2011
MOB1B	ENST00000309395.2	MOB kinase activator 1B 	54	1	0	1	0	1	0	1	0	1	hsa-miR-148a-3p	0.0636	0.4118	1.7015	-0.39	-0.40	0.41	2005, 2007, 2009, 2011
LRRC41	ENST00000343304.6	leucine rich repeat containing 41 	1532	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0684	0.3551	0.8467	-0.39	-0.39	0.34	2007, 2009, 2011
LBR	ENST00000272163.4	lamin B receptor 	1217	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0784	0.3866	0.8321	-0.39	-0.39	0.22	2005, 2007, 2009, 2011
ASPH	ENST00000356457.5	aspartate beta-hydroxylase 	3013	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0619	0.3348	0.8794	-0.39	-0.39	0.53	2009, 2011
SIK1	ENST00000270162.6	salt-inducible kinase 1 	2163	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1546	0.5852	1.0272	-0.39	-0.39	0.89	2007, 2009, 2011
MAP3K4	ENST00000366919.2	mitogen-activated protein kinase kinase kinase 4 	241	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1228	0.5391	1.1507	-0.39	-0.39	0.79	2009, 2011
ESR1	ENST00000440973.1	estrogen receptor 1 	5	1	0	1	0	0	0	0	0	1	hsa-miR-148a-3p	0.0636	0.3770	1.3752	-0.39	-0.39	0.76	2005, 2007, 2009, 2011
FMR1	ENST00000370471.3	fragile X mental retardation 1 	1155	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1575	0.6068	1.1338	-0.39	-0.39	0.85	2005, 2007, 2009, 2011
COL2A1	ENST00000380518.3	collagen, type II, alpha 1 	1518	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1309	0.5361	0.9811	-0.39	-0.39	0.80	2005, 2007, 2009, 2011
UNC79	ENST00000553484.1	unc-79 homolog (C. elegans) 	5	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1052	0.4875	1.1025	-0.38	-0.38	0.52	NULL
AKAP1	ENST00000337714.3	A kinase (PRKA) anchor protein 1 	843	1	0	1	0	0	0	0	0	1	hsa-miR-148a-3p	0.0527	0.2979	0.8520	-0.38	-0.41	0.92	2005, 2007, 2009, 2011
TMSB10	ENST00000233143.4	thymosin beta 10 	49918	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0190	0.1254	0.5145	-0.38	-0.38	0.43	2005, 2007, 2011
CSF1	ENST00000329608.6	colony stimulating factor 1 (macrophage) 	290	2	1	1	0	1	1	0	0	2	hsa-miR-152-3p	0.1536	0.8735	2.5886	-0.38	-0.38	0.72	2005, 2007, 2009, 2011
ESRRG	ENST00000361525.3	estrogen-related receptor gamma 	5	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1285	0.5534	1.1743	-0.38	-0.38	0.84	2005, 2007, 2009, 2011
UHMK1	ENST00000538489.1	U2AF homology motif (UHM) kinase 1 	48	2	0	1	1	1	0	0	1	3	hsa-miR-148a-3p	0.0787	0.4711	1.6431	-0.37	-0.72	0.94	2005, 2007, 2011
STX6	ENST00000258301.5	syntaxin 6 	348	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0448	0.2742	0.9983	-0.37	-0.37	< 0.1	2011
PHACTR2	ENST00000427704.2	phosphatase and actin regulator 2 	274	1	0	1	0	1	0	0	1	2	hsa-miR-148a-3p	0.0542	0.3467	1.4696	-0.37	-0.38	0.76	2005, 2007, 2009, 2011
MED12L	ENST00000474524.1	mediator complex subunit 12-like 	30	1	1	0	0	1	1	0	0	0	hsa-miR-148a-3p	0.1262	0.5993	1.4985	-0.37	-0.39	0.89	2005, 2007, 2009, 2011
JHDM1D	ENST00000397560.2	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae) 	470	1	0	0	1	1	0	0	1	0	hsa-miR-148a-3p	0.0595	0.3826	1.6021	-0.37	-0.42	0.76	2009, 2011
TFRC	ENST00000540528.1	transferrin receptor 	296	1	0	0	1	1	0	0	1	0	hsa-miR-152-3p	0.0378	0.2350	0.8642	-0.37	-0.39	0.75	2007, 2009, 2011
RSBN1L	ENST00000334955.8	round spermatid basic protein 1-like 	640	1	0	1	0	0	0	0	0	1	hsa-miR-148b-3p	0.0789	0.4405	1.4401	-0.37	-0.38	0.92	2005, 2007, 2009, 2011
ITGA5	ENST00000293379.4	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) 	5599	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0790	0.4484	1.3225	-0.37	-0.37	0.83	2005, 2007, 2009, 2011
RAB24	ENST00000393611.2	RAB24, member RAS oncogene family 	908	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0298	0.1859	0.6487	-0.37	-0.37	0.45	2009, 2011
FOXF1	ENST00000262426.4	forkhead box F1 	836	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0726	0.3662	0.8150	-0.37	-0.37	0.89	2009, 2011
FAM184A	ENST00000338891.7	family with sequence similarity 184, member A 	167	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0415	0.2425	0.7029	-0.37	-0.37	0.32	2011
NFYA	ENST00000341376.6	nuclear transcription factor Y, alpha 	177	1	0	1	0	3	0	0	3	1	hsa-miR-148a-3p	0.0535	0.3445	1.3837	-0.37	-0.70	0.61	2011
SIRT7	ENST00000328666.6	sirtuin 7 	8	2	0	2	0	0	0	0	0	0	hsa-miR-148a-3p	0.0316	0.2080	0.8550	-0.37	-0.48	0.67	2005, 2007, 2011
HLA-DQB1	ENST00000399082.3	major histocompatibility complex, class II, DQ beta 1 	40	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0247	0.1692	0.8201	-0.37	-0.37	< 0.1	2011
DMPK	ENST00000354227.5	dystrophia myotonica-protein kinase 	409	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0815	0.3937	0.8208	-0.37	-0.38	0.67	2009, 2011
CCDC71	ENST00000321895.6	coiled-coil domain containing 71 	64	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0426	0.2490	0.7344	-0.37	-0.37	0.87	2007, 2009, 2011
UBE2W	ENST00000517608.1	ubiquitin-conjugating enzyme E2W (putative) 	102	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0950	0.4605	1.1108	-0.37	-0.37	0.92	2007, 2009, 2011
ST18	ENST00000276480.7	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein) 	5	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1275	0.5649	1.3115	-0.37	-0.37	0.83	2009, 2011
SBF2	ENST00000256190.8	SET binding factor 2 	65	1	1	0	0	1*	0	0	0	0	hsa-miR-148a-3p	0.1619	0.6688	1.6047	-0.37	-0.37	0.87	2011
PNPLA2	ENST00000336615.4	patatin-like phospholipase domain containing 2 	6586	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0476	0.2703	0.7435	-0.37	-0.37	0.19	NULL
UBXN1	ENST00000294119.2	UBX domain protein 1 	48	1	0	0	1	0	0	0	0	0	hsa-miR-148a-3p	0.0316	0.1950	0.6523	-0.37	-0.37	0.53	2005, 2007, 2009, 2011
KCND3	ENST00000369697.1	potassium voltage-gated channel, Shal-related subfamily, member 3 	23	2	0	0	2	1	0	1	0	0	hsa-miR-148a-3p	0.0491	0.3228	1.3998	-0.36	-0.36	0.83	NULL
CANX	ENST00000247461.4	calnexin 	17053	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1698	0.5623	0.8800	-0.36	-0.43	0.89	2005, 2007, 2009, 2011
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	1	0	1	0	2	0	2	0	1	hsa-miR-148a-3p	0.1023	0.6235	2.3861	-0.36	-0.36	0.90	2005, 2007
FBXL19	ENST00000338343.4	F-box and leucine-rich repeat protein 19 	75	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1251	0.5256	1.0035	-0.36	-0.36	0.83	2009, 2011
YTHDC2	ENST00000161863.4	YTH domain containing 2 	463	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1060	0.4956	1.1485	-0.36	-0.36	0.83	2009, 2011
SECISBP2L	ENST00000559471.1	SECIS binding protein 2-like 	161	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0488	0.3082	1.2217	-0.36	-0.36	0.76	2009, 2011
ZDHHC17	ENST00000426126.2	zinc finger, DHHC-type containing 17 	117	1	1	0	0	1	0	0	1	0	hsa-miR-148b-3p	0.1287	0.5239	1.1253	-0.36	-0.56	0.85	2005, 2007, 2009, 2011
GRID2	ENST00000282020.4	glutamate receptor, ionotropic, delta 2 	5	2	1	1	0	0	0	0	0	0	hsa-miR-152-3p	0.0902	0.5202	1.5685	-0.36	-0.36	0.71	NULL
C2orf91	ENST00000378711.2	chromosome 2 open reading frame 91 	5	1	0	1	0	1	1	0	0	1	hsa-miR-148a-3p	0.0446	0.2970	1.3428	-0.36	-0.36	0.29	NULL
KIAA1468	ENST00000398130.2	KIAA1468 	756	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0511	0.2865	0.7752	-0.36	-0.36	0.93	2005, 2007, 2009, 2011
NOVA1	ENST00000465357.2	neuro-oncological ventral antigen 1 	5	1	0	0	1	0	0	0	0	2	hsa-miR-148a-3p	0.0726	0.4248	1.4842	-0.36	-0.36	0.57	2005, 2007, 2011
SLC13A2	ENST00000314669.5	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 	5	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0281	0.1872	0.8472	-0.36	-0.36	0.29	2011
WASL	ENST00000223023.4	Wiskott-Aldrich syndrome-like 	230	1	0	1	0	1	0	1	0	0	hsa-miR-148a-3p	0.0609	0.3773	1.3684	-0.36	-0.37	0.64	2009, 2011
TBC1D5	ENST00000253692.7	TBC1 domain family, member 5 	400	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0679	0.3776	1.1628	-0.36	-0.38	0.39	2009, 2011
WNT10B	ENST00000407467.1	wingless-type MMTV integration site family, member 10B 	13	1	0	1	0	0	0	0	0	1	hsa-miR-152-3p	0.0690	0.3671	0.9662	-0.36	-0.36	0.36	2005, 2007, 2009, 2011
ZBTB18	ENST00000358704.4	zinc finger and BTB domain containing 18 	935	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0524	0.3180	1.1757	-0.36	-0.36	0.62	2005, 2007, 2009, 2011
ORMDL1	ENST00000392350.3	ORM1-like 1 (S. cerevisiae) 	998	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0274	0.1724	0.6062	-0.36	-0.36	0.38	NULL
MNT	ENST00000174618.4	MNT, MAX dimerization protein 	146	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1162	0.4709	0.9159	-0.36	-0.44	0.82	2005, 2007, 2009, 2011
PDE4D	ENST00000340635.6	phosphodiesterase 4D, cAMP-specific 	747	2	1	1	0	0	0	0	0	1	hsa-miR-148a-3p	0.0670	0.4211	1.5703	-0.35	-0.38	0.87	2009, 2011
BMP3	ENST00000282701.2	bone morphogenetic protein 3 	36	1	0	1	0	0	0	0	0	1	hsa-miR-148b-3p	0.0536	0.3030	0.8619	-0.35	-0.37	0.89	2009, 2011
ADAM17	ENST00000310823.3	ADAM metallopeptidase domain 17 	96	1	0	0	1	1	0	0	1	0	hsa-miR-148a-3p	0.0475	0.2826	0.8591	-0.35	-0.51	0.83	2009, 2011
PRKAA1	ENST00000397128.2	protein kinase, AMP-activated, alpha 1 catalytic subunit 	1415	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1122	0.5126	1.2462	-0.35	-0.42	0.75	2005, 2007, 2009, 2011
GPR116	ENST00000283296.7	G protein-coupled receptor 116 	5	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0915	0.4666	1.2475	-0.35	-0.35	< 0.1	2005, 2007, 2009, 2011
AGO1	ENST00000373204.4	argonaute RISC catalytic component 1 	402	2	1	1	0	4	2	1	1	4	hsa-miR-148a-3p	0.1686	1.0158	3.6302	-0.35	-0.42	0.86	2005, 2007, 2009, 2011
HSP90B1	ENST00000299767.5	heat shock protein 90kDa beta (Grp94), member 1 	42	1	0	1	0	1	0	0	1	0	hsa-miR-148a-3p	0.0466	0.2814	0.9233	-0.35	-0.44	0.87	2007
FAM43A	ENST00000329759.4	family with sequence similarity 43, member A 	287	1	0	1	0	0	0	0	0	1	hsa-miR-148a-3p	0.0309	0.1949	0.7190	-0.35	-0.42	0.74	2009, 2011
DMRTA2	ENST00000418121.1	DMRT-like family A2 	9	1	0	0	1	1	0	0	1	0	hsa-miR-148a-3p	0.0354	0.2312	0.9651	-0.35	-0.36	0.53	2011
STX11	ENST00000367568.4	syntaxin 11 	13	1	0	0	1	0	0	0	0	1	hsa-miR-148a-3p	0.0689	0.3591	0.8733	-0.35	-0.38	0.68	2011
RBM24	ENST00000379052.5	RNA binding motif protein 24 	43	2	0	1	1	0	0	0	0	0	hsa-miR-148a-3p	0.0465	0.2812	0.9049	-0.35	-0.60	0.82	2005, 2007, 2009, 2011
EPAS1	ENST00000263734.3	endothelial PAS domain protein 1 	3689	1	1	0	0	1	0	0	1	1	hsa-miR-148a-3p	0.1363	0.6721	1.7574	-0.35	-0.35	0.77	2005, 2007, 2009, 2011
ITPK1	ENST00000267615.6	inositol-tetrakisphosphate 1-kinase 	60	1	0	1	0	1	0	0	1	3	hsa-miR-152-3p	0.0820	0.4682	1.5366	-0.35	-0.35	0.92	2005, 2007, 2009, 2011
NR2E1	ENST00000368986.4	nuclear receptor subfamily 2, group E, member 1 	5	1	0	0	1	1	1	0	0	0	hsa-miR-148a-3p	0.0401	0.2610	1.0375	-0.35	-0.35	0.52	NULL
DSTYK	ENST00000367160.4	dual serine/threonine and tyrosine protein kinase 	256	1	1	0	0	0	0	0	0	2	hsa-miR-148a-3p	0.1325	0.6238	1.8222	-0.35	-0.38	0.78	2009, 2011
NAP1L1	ENST00000261182.8	nucleosome assembly protein 1-like 1 	9072	1	0	1	0	1	0	1	0	0	hsa-miR-148a-3p	0.0368	0.2214	0.6893	-0.35	-0.55	0.87	2009, 2011
RAB12	ENST00000329286.6	RAB12, member RAS oncogene family 	589	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0322	0.2043	0.7749	-0.35	-0.35	0.37	2007, 2011
ALCAM	ENST00000306107.5	activated leukocyte cell adhesion molecule 	371	1	1	0	0	0	0	0	0	0	hsa-miR-152-3p	0.1672	0.6073	1.0061	-0.35	-0.35	0.83	2009, 2011
FBN1	ENST00000316623.5	fibrillin 1 	798	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0706	0.4078	1.3741	-0.35	-0.35	0.84	2005, 2007, 2009, 2011
