Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
SLC25A47	ENST00000361529.3	solute carrier family 25, member 47 	5	1	1	0	0	0	hsa-miR-4253				-0.27	-0.27	N/A
H2BFM	ENST00000355016.3	H2B histone family, member M 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
SYT7	ENST00000263846.4	synaptotagmin VII 	192	1	0	1	0	1	hsa-miR-4253				-0.27	-0.27	N/A
CLDN9	ENST00000445369.2	claudin 9 	5	1	0	1	0	1	hsa-miR-6862-5p				-0.27	-0.27	N/A
MOB1A	ENST00000396049.4	MOB kinase activator 1A 	963	1	1	0	0	0	hsa-miR-6862-5p				-0.27	-0.40	N/A
APLN	ENST00000307484.6	apelin 	48	2	1	0	1	0	hsa-miR-4253				-0.27	-0.52	N/A
FAM72D	ENST00000400889.1	family with sequence similarity 72, member D 	5	1	0	0	1	0	hsa-miR-4253				-0.27	-0.27	N/A
ARNT2	ENST00000303329.4	aryl-hydrocarbon receptor nuclear translocator 2 	39	4	1	1	2	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
CCL18	ENST00000004921.3	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) 	5	1	0	0	1	0	hsa-miR-4253				-0.27	-0.27	N/A
FAM72B	ENST00000369390.3	family with sequence similarity 72, member B 	5	1	0	0	1	0	hsa-miR-4253				-0.27	-0.27	N/A
STAT2	ENST00000314128.4	signal transducer and activator of transcription 2, 113kDa 	33	2	1	1	0	0	hsa-miR-6862-5p				-0.27	-0.32	N/A
PKP4	ENST00000389757.3	plakophilin 4 	373	2	1	0	1	0	hsa-miR-4253				-0.27	-0.39	N/A
KCTD2	ENST00000322444.6	potassium channel tetramerization domain containing 2 	3328	1	1	0	0	0	hsa-miR-4253				-0.27	-0.27	N/A
MAP4	ENST00000383737.4	microtubule-associated protein 4 	3914	2	0	2	0	1	hsa-miR-6862-5p				-0.27	-0.28	N/A
STK39	ENST00000355999.4	serine threonine kinase 39 	266	1	0	1	0	0	hsa-miR-4253				-0.27	-0.27	N/A
DMWD	ENST00000377735.3	dystrophia myotonica, WD repeat containing 	229	1	0	1	0	0	hsa-miR-4253				-0.27	-0.27	N/A
AC024940.1	ENST00000313737.4		5	1	0	0	1	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
HIATL2	ENST00000602917.1	hippocampus abundant transcript-like 2 	111	1	1	0	0	1	hsa-miR-4253				-0.27	-0.28	N/A
SLC30A7	ENST00000370112.4	solute carrier family 30 (zinc transporter), member 7 	204	1	1	0	0	0	hsa-miR-4253				-0.27	-0.27	N/A
FAM72A	ENST00000367128.3	family with sequence similarity 72, member A 	5	1	0	0	1	0	hsa-miR-4253				-0.27	-0.27	N/A
IRAK3	ENST00000261233.4	interleukin-1 receptor-associated kinase 3 	13	2	1	0	1	0	hsa-miR-4253				-0.27	-0.34	N/A
NPM3	ENST00000370110.5	nucleophosmin/nucleoplasmin 3 	350	1	0	1	0	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
AQP9	ENST00000219919.4	aquaporin 9 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
E2F7	ENST00000416496.2	E2F transcription factor 7 	308	1	0	1	0	0	hsa-miR-4253				-0.27	-0.27	N/A
ATP2B4	ENST00000367218.3	ATPase, Ca++ transporting, plasma membrane 4 	7311	1	1	0	0	0	hsa-miR-6862-5p				-0.27	-0.28	N/A
TACR2	ENST00000373307.1	tachykinin receptor 2 	5	2	0	2	0	0	hsa-miR-6862-5p				-0.27	-0.48	N/A
ORAOV1	ENST00000279147.4	oral cancer overexpressed 1 	78	1	0	1	0	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
PRDM6	ENST00000407847.4	PR domain containing 6 	69	2	1	0	1	0	hsa-miR-6862-5p				-0.27	-0.32	N/A
RNF125	ENST00000217740.3	ring finger protein 125, E3 ubiquitin protein ligase 	214	2	1	1	0	0	hsa-miR-4253				-0.27	-0.27	N/A
CHMP2A	ENST00000600118.1	charged multivesicular body protein 2A 	50	1	0	0	1	0	hsa-miR-4253				-0.27	-0.29	N/A
TAGLN2	ENST00000368096.1	transgelin 2 	2192	1	0	1	0	0	hsa-miR-4253				-0.27	-0.27	N/A
ADRA1D	ENST00000379453.4	adrenoceptor alpha 1D 	17	1	0	1	0	0	hsa-miR-4253				-0.27	-0.27	N/A
KRT80	ENST00000313234.5	keratin 80 	617	1	1	0	0	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
SESN2	ENST00000253063.3	sestrin 2 	854	1	1	0	0	0	hsa-miR-6862-5p				-0.27	-0.27	N/A
HSPA12A	ENST00000369209.3	heat shock 70kDa protein 12A 	37	1	1	0	0	1	hsa-miR-6862-5p				-0.27	-0.27	N/A
DMBX1	ENST00000360032.3	diencephalon/mesencephalon homeobox 1 	31	2	0	0	2	0	hsa-miR-6862-5p				-0.26	-0.29	N/A
LGSN	ENST00000370658.5	lengsin, lens protein with glutamine synthetase domain 	21	1	0	1	0	1	hsa-miR-4253				-0.26	-0.26	N/A
IL1RN	ENST00000361779.3	interleukin 1 receptor antagonist 	19	1	0	1	0	0	hsa-miR-4253				-0.26	-0.26	N/A
ZNF417	ENST00000312026.5	zinc finger protein 417 	19	2	1	1	0	1	hsa-miR-4253				-0.26	-0.26	N/A
RNF115	ENST00000369291.5	ring finger protein 115 	757	4	4	0	0	0	hsa-miR-6862-5p				-0.26	-0.93	N/A
IL1B	ENST00000263341.2	interleukin 1, beta 	5	1	0	0	1	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
RPRD1B	ENST00000373433.4	regulation of nuclear pre-mRNA domain containing 1B 	1140	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
COX18	ENST00000295890.4	COX18 cytochrome C oxidase assembly factor 	356	1	1	0	0	1	hsa-miR-4253				-0.26	-0.29	N/A
PLP2	ENST00000376327.5	proteolipid protein 2 (colonic epithelium-enriched) 	463	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
C1RL	ENST00000544702.1	complement component 1, r subcomponent-like 	70	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.31	N/A
MCHR2	ENST00000281806.2	melanin-concentrating hormone receptor 2 	5	1	0	0	1	0	hsa-miR-4253				-0.26	-0.26	N/A
BCL2L2	ENST00000250405.5	BCL2-like 2 	1380	1	0	1	0	2	hsa-miR-6862-5p				-0.26	-0.27	N/A
NTRK2	ENST00000395882.1	neurotrophic tyrosine kinase, receptor, type 2 	48	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
C1orf116	ENST00000359470.5	chromosome 1 open reading frame 116 	17	2	1	0	1	0	hsa-miR-6862-5p				-0.26	-0.37	N/A
SREBF2	ENST00000361204.4	sterol regulatory element binding transcription factor 2 	1518	2	0	1	1	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	3	3	0	0	1	hsa-miR-4253				-0.26	-0.26	N/A
PNMA5	ENST00000361887.5	paraneoplastic Ma antigen family member 5 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
SLC35E2B	ENST00000378662.1	solute carrier family 35, member E2B 	5	2	1	1	0	1	hsa-miR-6862-5p				-0.26	-0.26	N/A
MAST3	ENST00000262811.6	microtubule associated serine/threonine kinase 3 	46	2	1	0	1	0	hsa-miR-4253				-0.26	-0.29	N/A
ZC3HAV1	ENST00000242351.5	zinc finger CCCH-type, antiviral 1 	45	3	0	1	2	1	hsa-miR-4253				-0.26	-0.26	N/A
TH	ENST00000381178.1	tyrosine hydroxylase 	5	1	0	1	0	0	hsa-miR-4253				-0.26	-0.26	N/A
SLFN13	ENST00000285013.6	schlafen family member 13 	11	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
COL22A1	ENST00000303045.6	collagen, type XXII, alpha 1 	5	2	0	2	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
GLRA2	ENST00000218075.4	glycine receptor, alpha 2 	5	1	0	0	1	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
EFHD1	ENST00000264059.3	EF-hand domain family, member D1 	105	1	0	0	1	1	hsa-miR-6862-5p				-0.26	-0.26	N/A
RP11-114H20.1	ENST00000375644.3		5	1	0	1	0	1	hsa-miR-4253				-0.26	-0.26	N/A
USP8	ENST00000396444.3	ubiquitin specific peptidase 8 	109	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.30	N/A
MUSTN1	ENST00000486659.1	musculoskeletal, embryonic nuclear protein 1 	39	1	0	0	1	0	hsa-miR-4253				-0.26	-0.26	N/A
MS4A10	ENST00000308287.1	membrane-spanning 4-domains, subfamily A, member 10 	5	1	0	0	1	0	hsa-miR-4253				-0.26	-0.26	N/A
VGLL2	ENST00000352536.3	vestigial like 2 (Drosophila) 	5	1	0	0	1	0	hsa-miR-4253				-0.26	-0.26	N/A
RP11-363G10.2	ENST00000375625.3		5	1	0	1	0	1	hsa-miR-4253				-0.26	-0.26	N/A
LTBP2	ENST00000261978.4	latent transforming growth factor beta binding protein 2 	1616	1	0	1	0	0	hsa-miR-4253				-0.26	-0.26	N/A
LGI3	ENST00000306317.2	leucine-rich repeat LGI family, member 3 	5	1	0	1	0	0	hsa-miR-4253				-0.26	-0.26	N/A
PI4K2A	ENST00000370649.3	Phosphatidylinositol 4-kinase type 2-alpha; Uncharacterized protein  	1489	2	0	2	0	0	hsa-miR-4253				-0.26	-0.26	N/A
VPS53	ENST00000437048.2	vacuolar protein sorting 53 homolog (S. cerevisiae) 	1332	2	1	1	0	3	hsa-miR-6862-5p				-0.26	-0.31	N/A
ZNF490	ENST00000311437.6	zinc finger protein 490 	97	1	1	0	0	0	hsa-miR-4253				-0.26	-0.26	N/A
CLDN11	ENST00000064724.3	claudin 11 	1116	1	0	0	1	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
PLVAP	ENST00000252590.4	plasmalemma vesicle associated protein 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
RAG2	ENST00000311485.3	recombination activating gene 2 	5	1	0	0	1	0	hsa-miR-4253				-0.26	-0.26	N/A
SHPK	ENST00000225519.3	sedoheptulokinase 	40	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
FKBP9	ENST00000242209.4	FK506 binding protein 9, 63 kDa 	43	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
FRMD7	ENST00000370879.1	FERM domain containing 7 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
ABCA3	ENST00000301732.5	ATP-binding cassette, sub-family A (ABC1), member 3 	338	1	1	0	0	0	hsa-miR-4253				-0.26	-0.26	N/A
ZNF496	ENST00000294753.4	zinc finger protein 496 	391	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.27	N/A
IRAK4	ENST00000431837.1	interleukin-1 receptor-associated kinase 4 	223	1	1	0	0	0	hsa-miR-4253				-0.26	-0.26	N/A
ALDH3B2	ENST00000530069.1	aldehyde dehydrogenase 3 family, member B2 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
TREML1	ENST00000373127.4	triggering receptor expressed on myeloid cells-like 1 	5	1	0	1	0	0	hsa-miR-4253				-0.26	-0.26	N/A
AC006946.15	ENST00000441544.1	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-4253				-0.26	-0.26	N/A
LY6K	ENST00000522591.1	lymphocyte antigen 6 complex, locus K 	2718	1	0	1	0	0	hsa-miR-4253				-0.26	-0.26	N/A
EPB41L5	ENST00000443902.2	erythrocyte membrane protein band 4.1 like 5 	108	2	0	2	0	0	hsa-miR-6862-5p				-0.26	-0.27	N/A
HMGA1	ENST00000347617.6	high mobility group AT-hook 1 	2024	1	0	1	0	0	hsa-miR-4253				-0.26	-0.26	N/A
CCDC9	ENST00000221922.6	coiled-coil domain containing 9 	391	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
CYP4A11	ENST00000310638.4	cytochrome P450, family 4, subfamily A, polypeptide 11 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
PET112	ENST00000263985.6	PET112 homolog (yeast) 	1036	1	0	0	1	0	hsa-miR-4253				-0.26	-0.26	N/A
EXOG	ENST00000287675.5	endo/exonuclease (5'-3'), endonuclease G-like 	195	1	0	1	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
F3	ENST00000334047.7	coagulation factor III (thromboplastin, tissue factor) 	13568	1	1	0	0	0	hsa-miR-4253				-0.26	-0.26	N/A
CHERP	ENST00000546361.2	calcium homeostasis endoplasmic reticulum protein 	614	1	1	0	0	0	hsa-miR-6862-5p				-0.26	-0.26	N/A
ZFP90	ENST00000398253.2	ZFP90 zinc finger protein 	174	1	1	0	0	0	hsa-miR-6862-5p				-0.25	-0.26	N/A
DDTL	ENST00000215770.5	D-dopachrome tautomerase-like 	7	1	0	1	0	1	hsa-miR-4253				-0.25	-0.32	N/A
VEZF1	ENST00000584396.1	vascular endothelial zinc finger 1 	209	1	0	1	0	2	hsa-miR-4253				-0.25	-0.26	N/A
KIRREL2	ENST00000360202.5	kin of IRRE like 2 (Drosophila) 	5	1	0	0	1	1	hsa-miR-4253				-0.25	-0.25	N/A
CIB2	ENST00000258930.3	calcium and integrin binding family member 2 	119	1	0	1	0	0	hsa-miR-4253				-0.25	-0.25	N/A
ZNF146	ENST00000443387.2	zinc finger protein 146 	3086	2	1	1	0	0	hsa-miR-6862-5p				-0.25	-0.61	N/A
BOC	ENST00000485230.1	BOC cell adhesion associated, oncogene regulated 	159	1	0	0	1	0	hsa-miR-4253				-0.25	-0.25	N/A
XCR1	ENST00000309285.3	chemokine (C motif) receptor 1 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
TMEM45A	ENST00000323523.4	transmembrane protein 45A 	350	1	0	0	1	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
SSBP1	ENST00000465582.1	single-stranded DNA binding protein 1, mitochondrial 	5	1	0	0	1	0	hsa-miR-4253				-0.25	-0.25	N/A
EMR1	ENST00000250572.8	egf-like module containing, mucin-like, hormone receptor-like 1 	6	1	0	1	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
ZBTB3	ENST00000394807.3	zinc finger and BTB domain containing 3 	96	1	1	0	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
IGFBP5	ENST00000233813.4	insulin-like growth factor binding protein 5 	10709	3	0	3	0	1	hsa-miR-6862-5p				-0.25	-0.47	N/A
TAX1BP3	ENST00000225525.3	Tax1 (human T-cell leukemia virus type I) binding protein 3 	4402	1	0	0	1	0	hsa-miR-6862-5p				-0.25	-0.27	N/A
CGNL1	ENST00000281282.5	cingulin-like 1 	25	1	1	0	0	1	hsa-miR-4253				-0.25	-0.25	N/A
SREK1IP1	ENST00000513458.4	SREK1-interacting protein 1 	145	2	1	1	0	0	hsa-miR-6862-5p				-0.25	-0.54	N/A
NLRP14	ENST00000299481.4	NLR family, pyrin domain containing 14 	0	1	0	0	1	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
LYZ	ENST00000261267.2	lysozyme 	255	1	0	0	1	0	hsa-miR-4253				-0.25	-0.25	N/A
CNIH3	ENST00000272133.3	cornichon family AMPA receptor auxiliary protein 3 	28	1	0	1	0	0	hsa-miR-4253				-0.25	-0.25	N/A
HOXC6	ENST00000243108.4	homeobox C6 	63	1	0	0	1	0	hsa-miR-4253				-0.25	-0.25	N/A
BARX2	ENST00000281437.4	BARX homeobox 2 	5	1	1	0	0	1	hsa-miR-6862-5p				-0.25	-0.25	N/A
PAX7	ENST00000420770.2	paired box 7 	7	1	0	1	0	1	hsa-miR-4253				-0.25	-0.25	N/A
AQP7	ENST00000537089.1	aquaporin 7 	10	1	0	1	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
TPM3	ENST00000368531.2	tropomyosin 3 	669	2	0	1	1	0	hsa-miR-6862-5p				-0.25	-0.35	N/A
MTFR1L	ENST00000474295.1	mitochondrial fission regulator 1-like 	3051	1	0	0	1	1	hsa-miR-4253				-0.25	-0.27	N/A
NHLH1	ENST00000302101.5	nescient helix loop helix 1 	5	2	0	1	1	0	hsa-miR-4253				-0.25	-0.25	N/A
AC135983.2	ENST00000593303.1	Protein LOC100996413  	5	1	1	0	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
TMEM132B	ENST00000299308.3	transmembrane protein 132B 	5	2	1	0	1	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
WDR45	ENST00000553851.1	WD repeat domain 45 	1921	1	0	1	0	0	hsa-miR-4253				-0.25	-0.25	N/A
AF196779.12	ENST00000376358.3	Uncharacterized protein; WD repeat domain phosphoinositide-interacting protein 4  	1921	1	0	1	0	0	hsa-miR-4253				-0.25	-0.25	N/A
TMEM2	ENST00000377044.4	transmembrane protein 2 	130	2	0	1	1	0	hsa-miR-4253				-0.25	-0.26	N/A
ZNF100	ENST00000358296.6	zinc finger protein 100 	142	1	1	0	0	0	hsa-miR-4253				-0.25	-0.27	N/A
SLC1A4	ENST00000234256.3	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 	380	1	0	1	0	0	hsa-miR-6862-5p				-0.25	-0.29	N/A
BIVM	ENST00000448849.2	basic, immunoglobulin-like variable motif containing 	440	1	0	0	1	0	hsa-miR-6862-5p				-0.25	-0.26	N/A
CYP4A22	ENST00000371891.3	cytochrome P450, family 4, subfamily A, polypeptide 22 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
ALAD	ENST00000409155.3	aminolevulinate dehydratase 	1922	1	0	1	0	0	hsa-miR-4253				-0.25	-0.26	N/A
GJD2	ENST00000290374.4	gap junction protein, delta 2, 36kDa 	5	1	0	1	0	0	hsa-miR-4253				-0.25	-0.25	N/A
PDYN	ENST00000539905.1	prodynorphin 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
LAMTOR3	ENST00000499666.2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 	67	2	0	1	1	0	hsa-miR-4253				-0.25	-0.40	N/A
C17orf96	ENST00000325814.5	chromosome 17 open reading frame 96 	19	2	0	2	0	0	hsa-miR-4253				-0.25	-0.25	N/A
TMEM239	ENST00000361033.1	transmembrane protein 239 	5	1	0	1	0	1	hsa-miR-6862-5p				-0.25	-0.25	N/A
C5orf64	ENST00000505642.1	chromosome 5 open reading frame 64 	5	1	0	1	0	0	hsa-miR-4253				-0.25	-0.25	N/A
MARVELD2	ENST00000325631.5	MARVEL domain containing 2 	227	1	1	0	0	0	hsa-miR-4253				-0.25	-0.25	N/A
KCNC4	ENST00000369787.3	potassium voltage-gated channel, Shaw-related subfamily, member 4 	138	2	1	0	1	0	hsa-miR-6862-5p				-0.25	-0.28	N/A
PGD	ENST00000270776.8	phosphogluconate dehydrogenase 	2008	1	0	1	0	0	hsa-miR-4253				-0.25	-0.25	N/A
ATP6V1A	ENST00000273398.3	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A 	180	1	1	0	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
OPALIN	ENST00000371172.3	oligodendrocytic myelin paranodal and inner loop protein 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
KREMEN1	ENST00000400335.4	kringle containing transmembrane protein 1 	606	3	1	1	1	1	hsa-miR-6862-5p				-0.25	-0.25	N/A
TTC14	ENST00000412756.2	tetratricopeptide repeat domain 14 	99	1	0	0	1	1	hsa-miR-4253				-0.25	-0.25	N/A
SIGLEC1	ENST00000344754.4	sialic acid binding Ig-like lectin 1, sialoadhesin 	5	2	1	1	0	1	hsa-miR-4253				-0.25	-0.25	N/A
TADA1	ENST00000367874.4	transcriptional adaptor 1 	160	1	0	0	1	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
PIGQ	ENST00000321878.5	phosphatidylinositol glycan anchor biosynthesis, class Q 	342	1	1	0	0	0	hsa-miR-6862-5p				-0.25	-0.25	N/A
GABRA2	ENST00000507460.1	gamma-aminobutyric acid (GABA) A receptor, alpha 2 	10	2	0	2	0	2	hsa-miR-6862-5p				-0.25	-0.51	N/A
ZNF200	ENST00000396868.3	zinc finger protein 200 	269	1	0	0	1	0	hsa-miR-4253				-0.24	-0.24	N/A
ZNF525	ENST00000467003.1	zinc finger protein 525 	30	1	0	0	1	1	hsa-miR-4253				-0.24	-0.24	N/A
GTPBP2	ENST00000307126.5	GTP binding protein 2 	388	1	1	0	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
MAZ	ENST00000219782.6	MYC-associated zinc finger protein (purine-binding transcription factor) 	1711	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.25	N/A
C2orf88	ENST00000340623.4	chromosome 2 open reading frame 88 	156	1	0	1	0	1	hsa-miR-6862-5p				-0.24	-0.26	N/A
C8orf17	ENST00000507535.3	chromosome 8 open reading frame 17 	5	1	0	1	0	0	hsa-miR-4253				-0.24	-0.24	N/A
CHAD	ENST00000258969.4	chondroadherin 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
PCDHB3	ENST00000231130.2	protocadherin beta 3 	5	1	0	0	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
SFN	ENST00000339276.4	stratifin 	5	1	0	1	0	0	hsa-miR-4253				-0.24	-0.24	N/A
ZBTB7C	ENST00000535628.2	zinc finger and BTB domain containing 7C 	23	1	1	0	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
SAMD9	ENST00000379958.2	sterile alpha motif domain containing 9 	35	1	1	0	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
C11orf96	ENST00000339446.3	chromosome 11 open reading frame 96 	475	1	0	1	0	0	hsa-miR-4253				-0.24	-0.24	N/A
PAX4	ENST00000338516.3	paired box 4 	5	1	0	0	1	0	hsa-miR-4253				-0.24	-0.24	N/A
GCNT4	ENST00000322348.4	glucosaminyl (N-acetyl) transferase 4, core 2 	19	2	1	0	1	0	hsa-miR-4253				-0.24	-0.40	N/A
FANCD2	ENST00000383806.1	Fanconi anemia, complementation group D2 	943	1	1	0	0	0	hsa-miR-4253				-0.24	-0.26	N/A
STK25	ENST00000316586.4	serine/threonine kinase 25 	699	3	0	0	3	0	hsa-miR-6862-5p				-0.24	-0.51	N/A
CDIPT	ENST00000563415.1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase 	183	1	1	0	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
KNTC1	ENST00000537348.1	kinetochore associated 1 	437	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
WNT2B	ENST00000369686.5	wingless-type MMTV integration site family, member 2B 	5	2	1	0	1	1	hsa-miR-4253				-0.24	-0.24	N/A
GLP1R	ENST00000373256.4	glucagon-like peptide 1 receptor 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
MSL1	ENST00000398532.4	male-specific lethal 1 homolog (Drosophila) 	4715	1	0	0	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
C12orf49	ENST00000261318.3	chromosome 12 open reading frame 49 	673	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.25	N/A
GNA13	ENST00000439174.2	guanine nucleotide binding protein (G protein), alpha 13 	190	1	1	0	0	0	hsa-miR-6862-5p				-0.24	-0.34	N/A
KIAA1586	ENST00000370733.4	KIAA1586 	76	2	1	0	1	0	hsa-miR-4253				-0.24	-0.36	N/A
EPB41L2	ENST00000531410.1	erythrocyte membrane protein band 4.1-like 2 	353	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
TRIM35	ENST00000305364.4	tripartite motif containing 35 	470	1	0	0	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
GLTSCR1L	ENST00000314073.5	GLTSCR1-like 	59	1	0	1	0	1	hsa-miR-4253				-0.24	-0.24	N/A
TMEM109	ENST00000227525.3	transmembrane protein 109 	4675	1	0	0	1	1	hsa-miR-6862-5p				-0.24	-0.24	N/A
GRHL2	ENST00000251808.3	grainyhead-like 2 (Drosophila) 	5	2	0	1	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
GEM	ENST00000396194.2	GTP binding protein overexpressed in skeletal muscle 	40	1	0	0	1	0	hsa-miR-4253				-0.24	-0.24	N/A
ZNF30	ENST00000601957.1	zinc finger protein 30 	99	1	0	0	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
CYP26B1	ENST00000001146.2	cytochrome P450, family 26, subfamily B, polypeptide 1 	1315	2	0	2	0	1	hsa-miR-6862-5p				-0.24	-0.24	N/A
GNA12	ENST00000275364.3	guanine nucleotide binding protein (G protein) alpha 12 	565	2	1	0	1	1	hsa-miR-4253				-0.24	-0.24	N/A
RCVRN	ENST00000226193.5	recoverin 	5	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
CNTD1	ENST00000588408.1	cyclin N-terminal domain containing 1 	7	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
ZBED6CL	ENST00000343855.4	ZBED6 C-terminal like 	270	1	0	1	0	0	hsa-miR-4253				-0.24	-0.24	N/A
ITGA11	ENST00000423218.2	integrin, alpha 11 	390	2	0	2	0	1	hsa-miR-4253				-0.24	-0.35	N/A
PGLYRP4	ENST00000359650.5	peptidoglycan recognition protein 4 	5	1	0	1	0	0	hsa-miR-4253				-0.24	-0.24	N/A
PLXDC1	ENST00000315392.4	plexin domain containing 1 	9	2	0	1	1	1	hsa-miR-6862-5p				-0.24	-0.24	N/A
GLTPD1	ENST00000343938.4	glycolipid transfer protein domain containing 1 	4136	1	0	1	0	1	hsa-miR-4253				-0.24	-0.24	N/A
TLN1	ENST00000314888.9	talin 1 	266	2	1	1	0	0	hsa-miR-4253				-0.24	-0.33	N/A
IRF5	ENST00000402030.2	interferon regulatory factor 5 	7	2	0	0	2	0	hsa-miR-4253				-0.24	-0.32	N/A
RAP1GAP2	ENST00000254695.8	RAP1 GTPase activating protein 2 	123	2	0	2	0	0	hsa-miR-4253				-0.24	-0.24	N/A
CD46	ENST00000358170.2	CD46 molecule, complement regulatory protein 	5846	1	0	1	0	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
AC092850.1	ENST00000598023.1	Protein LOC100996701  	5	1	1	0	0	1	hsa-miR-4253				-0.24	-0.24	N/A
LIPA	ENST00000336233.5	lipase A, lysosomal acid, cholesterol esterase 	1793	1	0	0	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
ACAA2	ENST00000285093.10	acetyl-CoA acyltransferase 2 	189	1	0	1	0	1	hsa-miR-4253				-0.24	-0.27	N/A
JAK1	ENST00000342505.4	Janus kinase 1 	139	1	0	0	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
SAMD1	ENST00000533683.2	sterile alpha motif domain containing 1 	12	1	0	1	0	0	hsa-miR-4253				-0.24	-0.24	N/A
CXorf56	ENST00000320339.4	chromosome X open reading frame 56 	279	1	0	1	0	1	hsa-miR-4253				-0.24	-0.34	N/A
KIAA1671	ENST00000401395.1	KIAA1671 	549	1	1	0	0	1	hsa-miR-6862-5p				-0.24	-0.24	N/A
CBX3	ENST00000409747.1	chromobox homolog 3 	889	1	0	0	1	0	hsa-miR-6862-5p				-0.24	-0.24	N/A
